-------------- Setting 1 --------------
----Servernumber Test 1----
Experiment 0 + [ mECGreedyVoteCost: 2.5 ,mGACost_1: 2 ,mGACost_0: 2 ,mECGreedyDegreeCost: 2.333 ,cplexcosts: 2 ]
Experiment 6 + [ mECGreedyVoteCost: 3 ,mGACost_1: 2 ,mGACost_0: 2 ,mECGreedyDegreeCost: 4.333 ,cplexcosts: 21.5 ]
Experiment 7 + [ mECGreedyVoteCost: 3.667 ,mGACost_1: 3 ,mGACost_0: 3 ,mECGreedyDegreeCost: 4.5 ,cplexcosts: 25 ]
Experiment 8 + [ mECGreedyVoteCost: 3.333 ,mGACost_1: 3 ,mGACost_0: 3 ,mECGreedyDegreeCost: 4 ,cplexcosts: 28 ]
Experiment 9 + [ mECGreedyVoteCost: 3.667 ,mGACost_1: 3 ,mGACost_0: 3 ,mECGreedyDegreeCost: 4.5 ,cplexcosts: 31.5 ]
ServersNumber:15  Density:1  Hops:2  [votecosts, GAcosts_1, cplexcosts, degreecosts, GAcosts_0] : [3.4, 2.8, 3.15, 4.383, 2.85]


Experiment 0 + [ mECGreedyVoteCost: 4.333 ,mGACost_1: 4 ,mGACost_0: 4 ,mECGreedyDegreeCost: 6.5 ,cplexcosts: 4 ]
Experiment 1 + [ mECGreedyVoteCost: 4.667 ,mGACost_1: 4 ,mGACost_0: 4 ,mECGreedyDegreeCost: 5.5 ,cplexcosts: 8 ]
Experiment 2 + [ mECGreedyVoteCost: 4.667 ,mGACost_1: 4 ,mGACost_0: 4 ,mECGreedyDegreeCost: 6.5 ,cplexcosts: 12 ]
Experiment 3 + [ mECGreedyVoteCost: 4.333 ,mGACost_1: 4 ,mGACost_0: 4 ,mECGreedyDegreeCost: 6.5 ,cplexcosts: 16 ]
Experiment 4 + [ mECGreedyVoteCost: 5.667 ,mGACost_1: 5 ,mGACost_0: 5 ,mECGreedyDegreeCost: 6.5 ,cplexcosts: 21 ]
Experiment 5 + [ mECGreedyVoteCost: 4.667 ,mGACost_1: 4 ,mGACost_0: 4 ,mECGreedyDegreeCost: 6 ,cplexcosts: 25 ]
Experiment 6 + [ mECGreedyVoteCost: 5 ,mGACost_1: 4 ,mGACost_0: 4 ,mECGreedyDegreeCost: 5.5 ,cplexcosts: 29.5 ]
Experiment 7 + [ mECGreedyVoteCost: 4.75 ,mGACost_1: 4 ,mGACost_0: 4 ,mECGreedyDegreeCost: 4.667 ,cplexcosts: 33.5 ]
Experiment 8 + [ mECGreedyVoteCost: 3.667 ,mGACost_1: 3 ,mGACost_0: 3 ,mECGreedyDegreeCost: 4.5 ,cplexcosts: 37 ]
Experiment 9 + [ mECGreedyVoteCost: 4.333 ,mGACost_1: 4 ,mGACost_0: 4 ,mECGreedyDegreeCost: 5 ,cplexcosts: 41 ]
ServersNumber:20  Density:1  Hops:2  [votecosts, GAcosts_1, cplexcosts, degreecosts, GAcosts_0] : [4.608, 4, 4.1, 5.717, 4]


Experiment 0 + [ mECGreedyVoteCost: 5.667 ,mGACost_1: 5 ,mGACost_0: 5 ,mECGreedyDegreeCost: 7.5 ,cplexcosts: 5 ]
Experiment 1 + [ mECGreedyVoteCost: 6 ,mGACost_1: 5 ,mGACost_0: 5 ,mECGreedyDegreeCost: 7 ,cplexcosts: 10 ]
Experiment 2 + [ mECGreedyVoteCost: 6 ,mGACost_1: 5 ,mGACost_0: 5 ,mECGreedyDegreeCost: 8 ,cplexcosts: 15.5 ]
Experiment 3 + [ mECGreedyVoteCost: 6 ,mGACost_1: 5 ,mGACost_0: 5 ,mECGreedyDegreeCost: 8 ,cplexcosts: 20.5 ]
Experiment 4 + [ mECGreedyVoteCost: 5 ,mGACost_1: 5 ,mGACost_0: 5 ,mECGreedyDegreeCost: 6.5 ,cplexcosts: 25.5 ]
Experiment 5 + [ mECGreedyVoteCost: 6 ,mGACost_1: 6 ,mGACost_0: 6 ,mECGreedyDegreeCost: 8 ,cplexcosts: 31.5 ]
Experiment 6 + [ mECGreedyVoteCost: 5 ,mGACost_1: 4 ,mGACost_0: 4 ,mECGreedyDegreeCost: 8 ,cplexcosts: 36 ]
Experiment 7 + [ mECGreedyVoteCost: 6 ,mGACost_1: 5 ,mGACost_0: 5.5 ,mECGreedyDegreeCost: 6 ,cplexcosts: 41 ]
Experiment 8 + [ mECGreedyVoteCost: 5.667 ,mGACost_1: 5 ,mGACost_0: 5.5 ,mECGreedyDegreeCost: 6.5 ,cplexcosts: 46.5 ]
Experiment 9 + [ mECGreedyVoteCost: 5.333 ,mGACost_1: 5 ,mGACost_0: 5 ,mECGreedyDegreeCost: 7 ,cplexcosts: 51.5 ]
ServersNumber:25  Density:1  Hops:2  [votecosts, GAcosts_1, cplexcosts, degreecosts, GAcosts_0] : [5.667, 5, 5.15, 7.25, 5.1]


Experiment 0 + [ mECGreedyVoteCost: 7 ,mGACost_1: 6 ,mGACost_0: 6 ,mECGreedyDegreeCost: 8 ,cplexcosts: 6.5 ]
Experiment 1 + [ mECGreedyVoteCost: 8.333 ,mGACost_1: 8 ,mGACost_0: 8 ,mECGreedyDegreeCost: 9.5 ,cplexcosts: 14.5 ]
Experiment 2 + [ mECGreedyVoteCost: 6.667 ,mGACost_1: 6 ,mGACost_0: 6 ,mECGreedyDegreeCost: 9 ,cplexcosts: 21 ]
Experiment 3 + [ mECGreedyVoteCost: 7 ,mGACost_1: 6 ,mGACost_0: 6 ,mECGreedyDegreeCost: 9.5 ,cplexcosts: 27.5 ]
Experiment 4 + [ mECGreedyVoteCost: 6 ,mGACost_1: 5 ,mGACost_0: 6 ,mECGreedyDegreeCost: 8 ,cplexcosts: 33 ]
Experiment 5 + [ mECGreedyVoteCost: 8 ,mGACost_1: 6 ,mGACost_0: 7 ,mECGreedyDegreeCost: 9.5 ,cplexcosts: 40 ]
Experiment 6 + [ mECGreedyVoteCost: 6.667 ,mGACost_1: 5 ,mGACost_0: 5 ,mECGreedyDegreeCost: 9.333 ,cplexcosts: 45.5 ]
Experiment 7 + [ mECGreedyVoteCost: 6.333 ,mGACost_1: 5 ,mGACost_0: 5 ,mECGreedyDegreeCost: 9.667 ,cplexcosts: 51.5 ]
Experiment 8 + [ mECGreedyVoteCost: 6.333 ,mGACost_1: 5 ,mGACost_0: 6 ,mECGreedyDegreeCost: 8.667 ,cplexcosts: 57.5 ]
Experiment 9 + [ mECGreedyVoteCost: 6.333 ,mGACost_1: 5 ,mGACost_0: 5.5 ,mECGreedyDegreeCost: 7.5 ,cplexcosts: 63 ]
ServersNumber:30  Density:1  Hops:2  [votecosts, GAcosts_1, cplexcosts, degreecosts, GAcosts_0] : [6.867, 5.7, 6.3, 8.867, 6.05]


Experiment 0 + [ mECGreedyVoteCost: 9.333 ,mGACost_1: 8 ,mGACost_0: 9 ,mECGreedyDegreeCost: 10.5 ,cplexcosts: 8.5 ]
Experiment 1 + [ mECGreedyVoteCost: 7.667 ,mGACost_1: 6 ,mGACost_0: 7 ,mECGreedyDegreeCost: 11.5 ,cplexcosts: 15.5 ]
Experiment 2 + [ mECGreedyVoteCost: 7.667 ,mGACost_1: 7 ,mGACost_0: 7 ,mECGreedyDegreeCost: 9 ,cplexcosts: 22.5 ]
Experiment 3 + [ mECGreedyVoteCost: 8.333 ,mGACost_1: 6 ,mGACost_0: 8 ,mECGreedyDegreeCost: 10 ,cplexcosts: 30 ]
Experiment 4 + [ mECGreedyVoteCost: 7.333 ,mGACost_1: 7 ,mGACost_0: 7 ,mECGreedyDegreeCost: 10.5 ,cplexcosts: 37 ]
Experiment 5 + [ mECGreedyVoteCost: 8 ,mGACost_1: 6 ,mGACost_0: 8 ,mECGreedyDegreeCost: 10.5 ,cplexcosts: 44 ]
Experiment 6 + [ mECGreedyVoteCost: 7.667 ,mGACost_1: 6 ,mGACost_0: 7 ,mECGreedyDegreeCost: 11 ,cplexcosts: 50.5 ]
Experiment 7 + [ mECGreedyVoteCost: 7.333 ,mGACost_1: 6 ,mGACost_0: 6 ,mECGreedyDegreeCost: 10 ,cplexcosts: 57 ]
Experiment 8 + [ mECGreedyVoteCost: 7.333 ,mGACost_1: 5 ,mGACost_0: 5 ,mECGreedyDegreeCost: 11 ,cplexcosts: 63 ]
Experiment 9 + [ mECGreedyVoteCost: 9.333 ,mGACost_1: 8 ,mGACost_0: 9 ,mECGreedyDegreeCost: 11.667 ,cplexcosts: 71.5 ]
ServersNumber:35  Density:1  Hops:2  [votecosts, GAcosts_1, cplexcosts, degreecosts, GAcosts_0] : [8, 6.5, 7.15, 10.567, 7.3]




----Denstiy Test 1----
Experiment 0 + [ mECGreedyVoteCost: 4.333 ,mGACost_1: 4 ,mGACost_0: 4 ,mECGreedyDegreeCost: 5.5 ,cplexcosts: 4 ]
Experiment 1 + [ mECGreedyVoteCost: 5 ,mGACost_1: 5 ,mGACost_0: 5 ,mECGreedyDegreeCost: 6.5 ,cplexcosts: 9 ]
Experiment 2 + [ mECGreedyVoteCost: 4 ,mGACost_1: 3 ,mGACost_0: 3 ,mECGreedyDegreeCost: 4.667 ,cplexcosts: 12.5 ]
Experiment 3 + [ mECGreedyVoteCost: 4.333 ,mGACost_1: 3 ,mGACost_0: 3 ,mECGreedyDegreeCost: 6 ,cplexcosts: 16.5 ]
Experiment 4 + [ mECGreedyVoteCost: 4 ,mGACost_1: 4 ,mGACost_0: 4 ,mECGreedyDegreeCost: 4.5 ,cplexcosts: 20.5 ]
Experiment 5 + [ mECGreedyVoteCost: 4.333 ,mGACost_1: 4 ,mGACost_0: 4.5 ,mECGreedyDegreeCost: 6.667 ,cplexcosts: 24.5 ]
Experiment 6 + [ mECGreedyVoteCost: 4 ,mGACost_1: 3.5 ,mGACost_0: 3 ,mECGreedyDegreeCost: 5.667 ,cplexcosts: 28 ]
Experiment 7 + [ mECGreedyVoteCost: 4.333 ,mGACost_1: 4 ,mGACost_0: 4 ,mECGreedyDegreeCost: 5.5 ,cplexcosts: 32 ]
Experiment 8 + [ mECGreedyVoteCost: 5.333 ,mGACost_1: 5 ,mGACost_0: 5 ,mECGreedyDegreeCost: 6 ,cplexcosts: 37 ]
Experiment 9 + [ mECGreedyVoteCost: 5 ,mGACost_1: 4 ,mGACost_0: 4.5 ,mECGreedyDegreeCost: 6.333 ,cplexcosts: 41.5 ]
ServersNumber:20  Density:1  Hops:2  [votecosts, GAcosts_1, cplexcosts, degreecosts, GAcosts_0] : [4.467, 3.95, 4.15, 5.733, 4]


Experiment 0 + [ mECGreedyVoteCost: 3 ,mGACost_1: 3 ,mGACost_0: 3 ,mECGreedyDegreeCost: 6.333 ,cplexcosts: 3 ]
Experiment 1 + [ mECGreedyVoteCost: 3 ,mGACost_1: 2.5 ,mGACost_0: 3 ,mECGreedyDegreeCost: 3.333 ,cplexcosts: 5.5 ]
Experiment 2 + [ mECGreedyVoteCost: 3 ,mGACost_1: 3 ,mGACost_0: 3 ,mECGreedyDegreeCost: 6 ,cplexcosts: 8.5 ]
Experiment 3 + [ mECGreedyVoteCost: 3 ,mGACost_1: 2.5 ,mGACost_0: 3 ,mECGreedyDegreeCost: 2.667 ,cplexcosts: 11 ]
Experiment 4 + [ mECGreedyVoteCost: 3.333 ,mGACost_1: 3 ,mGACost_0: 3 ,mECGreedyDegreeCost: 4.667 ,cplexcosts: 14 ]
Experiment 5 + [ mECGreedyVoteCost: 3.667 ,mGACost_1: 3 ,mGACost_0: 3 ,mECGreedyDegreeCost: 5.333 ,cplexcosts: 17.5 ]
Experiment 6 + [ mECGreedyVoteCost: 3.5 ,mGACost_1: 3 ,mGACost_0: 3 ,mECGreedyDegreeCost: 4.75 ,cplexcosts: 20.5 ]
Experiment 7 + [ mECGreedyVoteCost: 3.667 ,mGACost_1: 3 ,mGACost_0: 3.5 ,mECGreedyDegreeCost: 5 ,cplexcosts: 24 ]
Experiment 8 + [ mECGreedyVoteCost: 4 ,mGACost_1: 3 ,mGACost_0: 3 ,mECGreedyDegreeCost: 6.333 ,cplexcosts: 27.5 ]
Experiment 9 + [ mECGreedyVoteCost: 4.25 ,mGACost_1: 4 ,mGACost_0: 4 ,mECGreedyDegreeCost: 5 ,cplexcosts: 31.5 ]
ServersNumber:20  Density:1.3  Hops:2  [votecosts, GAcosts_1, cplexcosts, degreecosts, GAcosts_0] : [3.442, 3, 3.15, 4.942, 3.15]


Experiment 0 + [ mECGreedyVoteCost: 3 ,mGACost_1: 3 ,mGACost_0: 3 ,mECGreedyDegreeCost: 5.333 ,cplexcosts: 3 ]
Experiment 1 + [ mECGreedyVoteCost: 3 ,mGACost_1: 2 ,mGACost_0: 2 ,mECGreedyDegreeCost: 3.4 ,cplexcosts: 5.5 ]
Experiment 2 + [ mECGreedyVoteCost: 2.6 ,mGACost_1: 2 ,mGACost_0: 2 ,mECGreedyDegreeCost: 3 ,cplexcosts: 7.5 ]
Experiment 3 + [ mECGreedyVoteCost: 3.333 ,mGACost_1: 3 ,mGACost_0: 2.5 ,mECGreedyDegreeCost: 6 ,cplexcosts: 10 ]
Experiment 4 + [ mECGreedyVoteCost: 2.6 ,mGACost_1: 2.25 ,mGACost_0: 2.333 ,mECGreedyDegreeCost: 3.5 ,cplexcosts: 12.25 ]
Experiment 5 + [ mECGreedyVoteCost: 2.667 ,mGACost_1: 2 ,mGACost_0: 2 ,mECGreedyDegreeCost: 3 ,cplexcosts: 14.25 ]
Experiment 6 + [ mECGreedyVoteCost: 3 ,mGACost_1: 2 ,mGACost_0: 2 ,mECGreedyDegreeCost: 6 ,cplexcosts: 16.75 ]
Experiment 7 + [ mECGreedyVoteCost: 3.25 ,mGACost_1: 3 ,mGACost_0: 3 ,mECGreedyDegreeCost: 3.667 ,cplexcosts: 19.75 ]
Experiment 8 + [ mECGreedyVoteCost: 2.6 ,mGACost_1: 2 ,mGACost_0: 2 ,mECGreedyDegreeCost: 3 ,cplexcosts: 21.75 ]
Experiment 9 + [ mECGreedyVoteCost: 2.6 ,mGACost_1: 2 ,mGACost_0: 2 ,mECGreedyDegreeCost: 3 ,cplexcosts: 23.75 ]
ServersNumber:20  Density:1.6  Hops:2  [votecosts, GAcosts_1, cplexcosts, degreecosts, GAcosts_0] : [2.865, 2.325, 2.375, 3.99, 2.283]


Experiment 0 + [ mECGreedyVoteCost: 2.143 ,mGACost_1: 1.5 ,mGACost_0: 1.667 ,mECGreedyDegreeCost: 2 ,cplexcosts: 1.5 ]
Experiment 1 + [ mECGreedyVoteCost: 2 ,mGACost_1: 1 ,mGACost_0: 1 ,mECGreedyDegreeCost: 1.5 ,cplexcosts: 3 ]
Experiment 2 + [ mECGreedyVoteCost: 2 ,mGACost_1: 1.75 ,mGACost_0: 2 ,mECGreedyDegreeCost: 2 ,cplexcosts: 4.667 ]
Experiment 3 + [ mECGreedyVoteCost: 2 ,mGACost_1: 1 ,mGACost_0: 1 ,mECGreedyDegreeCost: 2 ,cplexcosts: 6.167 ]
Experiment 4 + [ mECGreedyVoteCost: 2.111 ,mGACost_1: 1.667 ,mGACost_0: 1.75 ,mECGreedyDegreeCost: 1.667 ,cplexcosts: 7.767 ]
Experiment 5 + [ mECGreedyVoteCost: 1.889 ,mGACost_1: 1.5 ,mGACost_0: 1.5 ,mECGreedyDegreeCost: 1.5 ,cplexcosts: 9.267 ]
Experiment 6 + [ mECGreedyVoteCost: 2.167 ,mGACost_1: 1.5 ,mGACost_0: 1.5 ,mECGreedyDegreeCost: 1.5 ,cplexcosts: 10.767 ]
Experiment 7 + [ mECGreedyVoteCost: 2 ,mGACost_1: 2 ,mGACost_0: 2 ,mECGreedyDegreeCost: 3.667 ,cplexcosts: 12.767 ]
Experiment 8 + [ mECGreedyVoteCost: 2 ,mGACost_1: 1 ,mGACost_0: 1 ,mECGreedyDegreeCost: 1.6 ,cplexcosts: 14.267 ]
Experiment 9 + [ mECGreedyVoteCost: 2.25 ,mGACost_1: 1.5 ,mGACost_0: 1.5 ,mECGreedyDegreeCost: 4.5 ,cplexcosts: 15.767 ]
ServersNumber:20  Density:1.9  Hops:2  [votecosts, GAcosts_1, cplexcosts, degreecosts, GAcosts_0] : [2.056, 1.442, 1.577, 2.193, 1.492]


Experiment 0 + [ mECGreedyVoteCost: 2 ,mGACost_1: 1.5 ,mGACost_0: 1.5 ,mECGreedyDegreeCost: 1.5 ,cplexcosts: 1.5 ]
Experiment 1 + [ mECGreedyVoteCost: 2 ,mGACost_1: 2 ,mGACost_0: 1.667 ,mECGreedyDegreeCost: 2 ,cplexcosts: 3 ]
Experiment 2 + [ mECGreedyVoteCost: 1.727 ,mGACost_1: 1 ,mGACost_0: 1 ,mECGreedyDegreeCost: 1 ,cplexcosts: 4 ]
Experiment 3 + [ mECGreedyVoteCost: 1.818 ,mGACost_1: 1.333 ,mGACost_0: 1.333 ,mECGreedyDegreeCost: 1.333 ,cplexcosts: 5.333 ]
Experiment 4 + [ mECGreedyVoteCost: 1.545 ,mGACost_1: 1.25 ,mGACost_0: 1.333 ,mECGreedyDegreeCost: 1.5 ,cplexcosts: 6.583 ]
Experiment 5 + [ mECGreedyVoteCost: 2.2 ,mGACost_1: 2 ,mGACost_0: 2 ,mECGreedyDegreeCost: 2.667 ,cplexcosts: 8.583 ]
Experiment 6 + [ mECGreedyVoteCost: 1.714 ,mGACost_1: 1.333 ,mGACost_0: 1.5 ,mECGreedyDegreeCost: 1.5 ,cplexcosts: 9.917 ]
Experiment 7 + [ mECGreedyVoteCost: 2 ,mGACost_1: 1 ,mGACost_0: 1 ,mECGreedyDegreeCost: 2.111 ,cplexcosts: 11.417 ]
Experiment 8 + [ mECGreedyVoteCost: 1.833 ,mGACost_1: 1.5 ,mGACost_0: 1.5 ,mECGreedyDegreeCost: 1.8 ,cplexcosts: 12.917 ]
Experiment 9 + [ mECGreedyVoteCost: 1.571 ,mGACost_1: 1 ,mGACost_0: 1 ,mECGreedyDegreeCost: 1.333 ,cplexcosts: 14.167 ]
ServersNumber:20  Density:2.2  Hops:2  [votecosts, GAcosts_1, cplexcosts, degreecosts, GAcosts_0] : [1.841, 1.392, 1.417, 1.674, 1.383]


Experiment 0 + [ mECGreedyVoteCost: 1.5 ,mGACost_1: 1 ,mGACost_0: 1 ,mECGreedyDegreeCost: 1 ,cplexcosts: 1 ]
Experiment 1 + [ mECGreedyVoteCost: 1.778 ,mGACost_1: 1 ,mGACost_0: 1 ,mECGreedyDegreeCost: 1.5 ,cplexcosts: 2.333 ]
Experiment 2 + [ mECGreedyVoteCost: 1.4 ,mGACost_1: 1 ,mGACost_0: 1 ,mECGreedyDegreeCost: 1 ,cplexcosts: 3.333 ]
Experiment 3 + [ mECGreedyVoteCost: 1.462 ,mGACost_1: 1 ,mGACost_0: 1 ,mECGreedyDegreeCost: 1.25 ,cplexcosts: 4.458 ]
Experiment 4 + [ mECGreedyVoteCost: 1.714 ,mGACost_1: 1.333 ,mGACost_0: 1.333 ,mECGreedyDegreeCost: 2 ,cplexcosts: 5.792 ]
Experiment 5 + [ mECGreedyVoteCost: 1.455 ,mGACost_1: 1 ,mGACost_0: 1 ,mECGreedyDegreeCost: 1 ,cplexcosts: 6.792 ]
Experiment 6 + [ mECGreedyVoteCost: 1.455 ,mGACost_1: 1 ,mGACost_0: 1 ,mECGreedyDegreeCost: 1 ,cplexcosts: 7.792 ]
Experiment 7 + [ mECGreedyVoteCost: 1.556 ,mGACost_1: 1 ,mGACost_0: 1 ,mECGreedyDegreeCost: 2 ,cplexcosts: 9.042 ]
Experiment 8 + [ mECGreedyVoteCost: 1.538 ,mGACost_1: 1 ,mGACost_0: 1 ,mECGreedyDegreeCost: 1 ,cplexcosts: 10.042 ]
Experiment 9 + [ mECGreedyVoteCost: 1.385 ,mGACost_1: 1 ,mGACost_0: 1 ,mECGreedyDegreeCost: 1 ,cplexcosts: 11.042 ]
ServersNumber:20  Density:2.5  Hops:2  [votecosts, GAcosts_1, cplexcosts, degreecosts, GAcosts_0] : [1.524, 1.033, 1.104, 1.275, 1.033]




----Hops Test 1----
Experiment 0 + [ mECGreedyVoteCost: 8 ,mGACost_1: 6 ,mGACost_0: 8 ,mECGreedyDegreeCost: 8.5 ,cplexcosts: 2 ]
Experiment 1 + [ mECGreedyVoteCost: 8 ,mGACost_1: 6 ,mGACost_0: 7 ,mECGreedyDegreeCost: 8.5 ,cplexcosts: 5 ]
Experiment 2 + [ mECGreedyVoteCost: 8 ,mGACost_1: 6 ,mGACost_0: 6 ,mECGreedyDegreeCost: 8.5 ,cplexcosts: 9 ]
Experiment 3 + [ mECGreedyVoteCost: 8 ,mGACost_1: 6 ,mGACost_0: 7 ,mECGreedyDegreeCost: 8.5 ,cplexcosts: 14 ]
Experiment 4 + [ mECGreedyVoteCost: 8 ,mGACost_1: 6 ,mGACost_0: 8 ,mECGreedyDegreeCost: 8.5 ,cplexcosts: 20 ]
Experiment 5 + [ mECGreedyVoteCost: 8 ,mGACost_1: 6 ,mGACost_0: 7 ,mECGreedyDegreeCost: 8.5 ,cplexcosts: 27 ]
Experiment 6 + [ mECGreedyVoteCost: 8 ,mGACost_1: 6 ,mGACost_0: 6 ,mECGreedyDegreeCost: 8.5 ,cplexcosts: 35 ]
Experiment 7 + [ mECGreedyVoteCost: 8 ,mGACost_1: 6 ,mGACost_0: 8 ,mECGreedyDegreeCost: 8.5 ,cplexcosts: 43 ]
Experiment 8 + [ mECGreedyVoteCost: 8 ,mGACost_1: 6 ,mGACost_0: 8 ,mECGreedyDegreeCost: 8.5 ,cplexcosts: 51 ]
Experiment 9 + [ mECGreedyVoteCost: 8 ,mGACost_1: 6 ,mGACost_0: 7 ,mECGreedyDegreeCost: 8.5 ,cplexcosts: 59 ]
ServersNumber:20  Density:1  Hops:1  [votecosts, GAcosts_1, cplexcosts, degreecosts, GAcosts_0] : [8, 6, 5.9, 8.5, 7.2]


Experiment 0 + [ mECGreedyVoteCost: 4 ,mGACost_1: 4 ,mGACost_0: 4 ,mECGreedyDegreeCost: 6.667 ,cplexcosts: 4 ]
Experiment 1 + [ mECGreedyVoteCost: 4 ,mGACost_1: 4 ,mGACost_0: 4 ,mECGreedyDegreeCost: 6.667 ,cplexcosts: 8 ]
Experiment 2 + [ mECGreedyVoteCost: 4 ,mGACost_1: 4 ,mGACost_0: 4 ,mECGreedyDegreeCost: 6.667 ,cplexcosts: 12 ]
Experiment 3 + [ mECGreedyVoteCost: 4 ,mGACost_1: 4 ,mGACost_0: 4 ,mECGreedyDegreeCost: 6.667 ,cplexcosts: 16 ]
Experiment 4 + [ mECGreedyVoteCost: 4 ,mGACost_1: 4 ,mGACost_0: 4 ,mECGreedyDegreeCost: 6.667 ,cplexcosts: 20 ]
Experiment 5 + [ mECGreedyVoteCost: 4 ,mGACost_1: 4 ,mGACost_0: 4 ,mECGreedyDegreeCost: 6.667 ,cplexcosts: 24 ]
Experiment 6 + [ mECGreedyVoteCost: 4 ,mGACost_1: 4 ,mGACost_0: 4 ,mECGreedyDegreeCost: 6.667 ,cplexcosts: 28 ]
Experiment 7 + [ mECGreedyVoteCost: 4 ,mGACost_1: 4 ,mGACost_0: 4 ,mECGreedyDegreeCost: 6.667 ,cplexcosts: 32 ]
Experiment 8 + [ mECGreedyVoteCost: 4 ,mGACost_1: 4 ,mGACost_0: 4 ,mECGreedyDegreeCost: 6.667 ,cplexcosts: 36 ]
Experiment 9 + [ mECGreedyVoteCost: 4 ,mGACost_1: 4 ,mGACost_0: 4 ,mECGreedyDegreeCost: 6.667 ,cplexcosts: 40 ]
ServersNumber:20  Density:1  Hops:2  [votecosts, GAcosts_1, cplexcosts, degreecosts, GAcosts_0] : [4, 4, 4, 6.667, 4]


Experiment 0 + [ mECGreedyVoteCost: 3.25 ,mGACost_1: 3 ,mGACost_0: 3 ,mECGreedyDegreeCost: 4.5 ,cplexcosts: 3 ]
Experiment 1 + [ mECGreedyVoteCost: 3.25 ,mGACost_1: 3 ,mGACost_0: 3 ,mECGreedyDegreeCost: 4.5 ,cplexcosts: 6 ]
Experiment 2 + [ mECGreedyVoteCost: 3.25 ,mGACost_1: 3 ,mGACost_0: 3 ,mECGreedyDegreeCost: 4.5 ,cplexcosts: 9 ]
Experiment 3 + [ mECGreedyVoteCost: 3.25 ,mGACost_1: 3 ,mGACost_0: 3 ,mECGreedyDegreeCost: 4.5 ,cplexcosts: 12 ]
Experiment 4 + [ mECGreedyVoteCost: 3.25 ,mGACost_1: 3 ,mGACost_0: 3 ,mECGreedyDegreeCost: 4.5 ,cplexcosts: 15 ]
Experiment 5 + [ mECGreedyVoteCost: 3.25 ,mGACost_1: 3 ,mGACost_0: 3 ,mECGreedyDegreeCost: 4.5 ,cplexcosts: 18 ]
Experiment 6 + [ mECGreedyVoteCost: 3.25 ,mGACost_1: 3 ,mGACost_0: 3 ,mECGreedyDegreeCost: 4.5 ,cplexcosts: 21 ]
